,POINT_ID,LC1,LU1,geometry,NUTS0
166,46582972,E30,U420,POINT (476990.9575982803 5512433.979872782),CZ
167,47003042,B13,U111,POINT (523598.409357493 5579367.239477627),CZ
168,47003074,E20,U111,POINT (525762.132598234 5611268.776831163),CZ
169,46382938,E20,U111,POINT (454766.8198396849 5479885.665627236),CZ
170,46382940,B11,U111,POINT (454900.3741701371 5481880.194197082),CZ
171,47663040,C10,U120,POINT (589316.1286723537 5572864.775727361),CZ
172,47663042,E20,U370,POINT (589451.2632036742 5574858.503820746),CZ
173,47663062,A21,U370,POINT (590803.9118048432 5594795.546429459),CZ
174,47722982,B11,U111,POINT (591394.6879293284 5514634.17199981),CZ
175,47042954,C31,U120,POINT (521671.9562789061 5491358.516831849),CZ
176,47702922,B32,U111,POINT (585376.559204436 5454951.715295443),CZ
177,47703020,A11,U370,POINT (591957.6539894837 5552653.613988455),CZ
178,47262960,E30,U111,POINT (544021.3863485134 5495842.056473124),CZ
179,47263016,B32,U111,POINT (547784.6801956147 5551672.734412899),CZ
180,47502964,B13,U111,POINT (568234.2799389573 5498192.471045908),CZ
181,47022988,B32,U111,POINT (521957.0458277247 5525394.12914247),CZ
182,47023028,B52,U111,POINT (524649.1134162758 5565273.532664001),CZ
183,47243070,B51,U111,POINT (549436.4704725832 5605642.041973263),CZ
184,47483010,B11,U111,POINT (569331.0214058806 5544188.758690432),CZ
185,47483060,E30,U420,POINT (572706.7100596922 5594033.036479627),CZ
186,47462914,B32,U111,POINT (560897.1129406632 5448613.967480276),CZ
187,47463020,C33,U120,POINT (568009.3517138483 5554294.528361688),CZ
188,47463040,B32,U111,POINT (569358.9850117867 5574232.388887268),CZ
189,47542998,B16,U111,POINT (574509.8534061371 5531815.695669344),CZ
190,47342912,B32,U111,POINT (548792.0775761293 5447437.937472747),CZ
191,47082952,B11,U111,POINT (525528.3699332572 5489092.074146042),CZ
192,47802920,B13,U111,POINT (595220.6795643365 5452273.911142791),CZ
193,47083056,B11,U111,POINT (532525.6884357937 5592778.278135802),CZ
194,47582878,B32,U111,POINT (570468.7426024457 5411899.357333527),CZ
195,47582896,B11,U111,POINT (571667.9734788847 5429847.531987798),CZ
196,47583014,C21,U120,POINT (579578.6908746569 5547492.926538836),CZ
197,47583066,C21,U120,POINT (583091.4690785763 5599330.233373593),CZ
198,47782914,C10,U420,POINT (592824.0200436162 5446428.436090487),CZ
199,47782930,B19,U111,POINT (593893.9855367101 5462380.985072262),CZ
200,47782990,B11,U111,POINT (597919.9931305966 5522199.135417758),CZ
201,47562914,B13,U111,POINT (570873.8125087549 5447931.57952224),CZ
202,47762924,A11,U370,POINT (591496.9706861646 5456535.605358209),CZ
203,47122946,B13,U111,POINT (529117.1029781768 5482837.320096766),CZ
204,47122960,C21,U120,POINT (530054.5964163 5496796.11012485),CZ
205,47322960,B21,U111,POINT (550007.3447653695 5495432.912673018),CZ
206,47102902,D20,U120,POINT (524183.8002041459 5439100.421706483),CZ
207,47102958,C10,U120,POINT (527925.3894369073 5494938.235061731),CZ
208,47803012,C21,U120,POINT (601397.4253166583 5543994.216240153),CZ
209,47422952,B15,U111,POINT (559448.0305256558 5486774.599244297),CZ
210,47422978,B11,U111,POINT (561192.0950799012 5512696.379236871),CZ
211,47423036,C10,U120,POINT (565097.6555582803 5570518.21606223),CZ
212,47182916,A11,U370,POINT (533097.711070115 5452516.074722647),CZ
213,47143004,C10,U120,POINT (535004.4163057993 5540528.051364124),CZ
214,47143006,C23,U120,POINT (535139.0062140682 5542521.988047252),CZ
215,47163004,B13,U111,POINT (536999.7511536642 5540391.647983146),CZ
216,47402964,C21,U120,POINT (558257.0497988552 5498875.134690066),CZ
217,47403022,C21,U120,POINT (562157.4989993761 5556698.271019995),CZ
218,47842958,E20,U111,POINT (601757.3533487406 5489886.301628849),CZ
219,47843018,A22,U312,POINT (605793.8281977387 5549701.727883241),CZ
220,47142988,B11,U111,POINT (533928.6026844063 5524576.342167124),CZ
221,47822976,C21,U120,POINT (600970.2490013053 5507968.36178912),CZ
222,47642892,Bx1,U111,POINT (577387.3328273779 5425449.482177069),CZ
223,47382890,E20,U111,POINT (551315.6696945901 5425228.759409074),CZ
224,47382910,C21,U120,POINT (552649.0479560487 5445171.120975034),CZ
225,47642980,C21,U120,POINT (583277.5177476376 5513187.333416189),CZ
226,47623046,E20,U111,POINT (585730.0084779686 5579119.582693732),CZ
227,47862882,B74,U113,POINT (598670.6821735573 5413974.751146919),CZ
228,48182878,B11,U111,POINT (630335.0159980587 5407794.065383209),CZ
229,48742940,B13,U111,POINT (690381.7524491262 5465761.222922259),CZ
230,48782902,B11,U111,POINT (691827.5200806572 5427597.143701712),CZ
231,48183014,C10,U120,POINT (639458.0226058968 5543384.413992505),CZ
232,48482914,C33,U120,POINT (662682.3553257561 5441627.997629683),CZ
233,48482966,A21,U415,POINT (666171.566871118 5493472.302234942),CZ
234,48722986,E20,U350,POINT (691479.2870982828 5511760.692351572),CZ
235,48462930,B16,U111,POINT (661757.9224066322 5457718.076272672),CZ
236,48462938,B32,U111,POINT (662294.4280472476 5465694.184893845),CZ
237,48222936,C10,U120,POINT (638204.9131575127 5465348.634087628),CZ
238,48222938,C31,U120,POINT (638338.9873434133 5467342.631069046),CZ
239,48222982,B13,U111,POINT (641294.401968818 5511208.967605298),CZ
240,47882868,B52,U111,POINT (599733.6942950304 5399878.203667244),CZ
241,48462946,B11,U111,POINT (662831.2913566116 5473670.189892661),CZ
242,48763022,H11,U420,POINT (697903.1796915785 5547375.385555254),CZ
243,47883016,B19,U111,POINT (609650.842443384 5547434.08799044),CZ
244,48203016,C10,U111,POINT (641589.3055426637 5545241.007311054),CZ
245,48483020,E20,U111,POINT (669810.8391184739 5547306.517573793),CZ
246,48523008,C31,U120,POINT (672994.1807766275 5535068.813103481),CZ
247,48582896,B13,U111,POINT (671459.9685314137 5422992.667361535),CZ
248,48523044,C31,U120,POINT (675427.0746042299 5570957.025405043),CZ
249,48822940,C23,U120,POINT (698369.4470324264 5465209.894430731),CZ
250,48822972,B11,U111,POINT (700521.4252820716 5497114.388275724),CZ
251,48822994,E20,U111,POINT (702004.0817954384 5519047.925030639),CZ
252,48862912,B41,U111,POINT (700484.7931494636 5437016.240843807),CZ
253,48862918,E20,U111,POINT (700887.0153381967 5442998.747348012),CZ
254,48302996,B52,U111,POINT (650222.5404378609 5524616.857416334),CZ
255,48562910,B32,U111,POINT (670400.2677305019 5437089.387524224),CZ
256,48283006,C21,U120,POINT (648900.2312292429 5534723.197535221),CZ
257,48562934,B16,U111,POINT (672008.6325868596 5461018.370199589),CZ
258,48062904,B75,U113,POINT (620095.5354934654 5434541.053645065),CZ
259,48062948,C21,U120,POINT (623041.1248014583 5478409.811651031),CZ
260,48802904,B16,U111,POINT (693958.2256880966 5429453.404292007),CZ
261,48262922,F40,U330,POINT (641259.2378367777 5451115.916533049),CZ
262,48802982,C10,U120,POINT (699197.9203036106 5507222.006274632),CZ
263,48262926,B13,U111,POINT (641527.1172059879 5455104.003262045),CZ
264,48262972,B11,U111,POINT (644614.2896161224 5500965.106093638),CZ
265,48842906,B32,U111,POINT (698085.8670898012 5431171.670009346),CZ
266,48843004,Bx1,U111,POINT (704676.0898264027 5528879.811665443),CZ
267,48022914,A11,U341,POINT (616772.3173758771 5444785.639837701),CZ
268,48542940,B11,U111,POINT (670414.6437285458 5467138.054039148),CZ
269,48882906,C33,U120,POINT (702079.6944699695 5430895.651816793),CZ
270,48022962,E20,U111,POINT (619988.7205990014 5492641.493228838),CZ
271,48642954,B11,U111,POINT (681338.1792532476 5480408.009956529),CZ
272,48142994,B51,U111,POINT (634117.2912440719 5523720.756843003),CZ
273,48082924,C31,U120,POINT (623428.9460810132 5454344.736469109),CZ
274,48663036,C10,U120,POINT (688864.3752657577 5562019.8888205),CZ
275,48982964,E10,U120,POINT (715960.5656155732 5488035.276427079),CZ
276,48122968,C21,U120,POINT (630371.985605565 5497937.740640404),CZ
277,48122994,C31,U120,POINT (632121.0911655591 5523857.898520873),CZ
278,48123032,C21,U120,POINT (634684.4256899816 5561739.617914973),CZ
279,48622946,B11,U111,POINT (678803.9868338851 5472569.646620973),CZ
280,48622972,C21,U120,POINT (680551.9684816052 5498491.332034382),CZ
281,48623020,C33,U120,POINT (683788.6795599267 5546344.400306538),CZ
282,48382924,C10,U120,POINT (653370.419657605 5452285.803417299),CZ
283,48383042,C10,U120,POINT (661314.5098713859 5569924.606546408),CZ
284,48342908,A11,U226,POINT (648306.8722012709 5436607.99639379),CZ
285,48342970,B22,U111,POINT (652465.179088306 5498421.99687866),CZ
286,48962998,B11,U111,POINT (716255.060838118 5522071.332688991),CZ
287,48923018,B22,U111,POINT (713611.1122708221 5542286.269574894),CZ
288,48103060,C31,U120,POINT (634582.1109408229 5589788.537786919),CZ
289,48602890,E10,U370,POINT (673055.258226473 5416872.387827113),CZ
290,48602918,C33,U120,POINT (674929.1106000978 5444790.511228023),CZ
291,48362942,B11,U111,POINT (652580.853824921 5470369.395914927),CZ
292,48362996,C33,U120,POINT (656211.9166500111 5524204.939562987),CZ
293,48403014,C21,U120,POINT (661419.0460639375 5541874.598526205),CZ
294,48403044,B11,U111,POINT (663446.4874176834 5571781.047800636),CZ
295,49022970,A22,U370,POINT (720359.3764303016 5493741.479626861),CZ
296,49042932,C33,U120,POINT (719800.8012212699 5455715.34008513),CZ
297,49522972,C21,U120,POINT (770441.5161807879 5492279.805436245),CZ
298,49522988,E20,U370,POINT (771521.5438239713 5508233.791234277),CZ
299,49003012,B11,U111,POINT (721195.5084369418 5535753.360714151),CZ
300,48162966,C21,U120,POINT (634229.8588196104 5495669.52556689),CZ
301,48422978,D10,U420,POINT (660989.2017359524 5505848.085199513),CZ
302,48423002,C10,U120,POINT (662606.0453074365 5529774.374776343),CZ
303,49082936,C31,U120,POINT (724064.241786568 5459427.366569605),CZ
304,49102936,E20,U111,POINT (726061.6649318024 5459289.184474157),CZ
305,49102948,C10,U120,POINT (726868.4070222215 5471254.139526415),CZ
306,49342962,C21,U120,POINT (751783.6795133553 5483554.348196493),CZ
307,49343000,E10,U120,POINT (754347.6679817511 5521443.326091547),CZ
308,49422980,C10,U120,POINT (760989.8220046521 5500948.771254519),CZ
309,49163006,C10,U411,POINT (736771.4223039302 5528668.188534441),CZ
310,49183002,D10,U420,POINT (738498.9957606995 5524542.129441804),CZ
311,49462974,A22,U120,POINT (764581.4674811959 5494689.383972823),CZ
312,49222960,E20,U111,POINT (739661.7499850807 5482389.887618447),CZ
313,49242968,C21,U120,POINT (742198.4714518507 5490228.262195642),CZ
314,49262960,C21,U120,POINT (743657.3273400533 5482113.38901242),CZ
315,48143050,E20,U111,POINT (637897.8372707991 5579545.90178093),CZ
316,48862902,E20,U111,POINT (699814.8537324985 5427045.259514159),CZ
317,47342998,B52,U111,POINT (554554.6009468943 5533181.699695528),CZ
318,46802958,B71,U113,POINT (497998.5405676767 5496979.396212749),CZ
319,47542994,B16,U111,POINT (574240.7159994013 5527827.972602462),CZ
320,47762984,B51,U111,POINT (595520.6480691789 5516354.414049129),CZ
321,46242912,C21,U120,POINT (439069.2398125339 5454902.70253322),CZ
322,46822908,B32,U111,POINT (496653.9143829767 5446985.618509078),CZ
323,48182962,C33,U120,POINT (635957.284144735 5491544.520737519),CZ
324,48002908,B32,U111,POINT (614375.4329369515 5438940.38898247),CZ
325,47863006,E20,U111,POINT (606980.7559482681 5537602.120291797),CZ
326,48082976,B74,U113,POINT (626917.5335159783 5506187.516546405),CZ
327,46303068,C31,U120,POINT (455523.6428706922 5610060.313637578),CZ
328,46562954,E20,U111,POINT (473790.6562850082 5494620.843864353),CZ
329,46102860,E20,U111,POINT (421654.0246291395 5403979.479766453),CZ
330,47183060,B11,U111,POINT (542773.2821899422 5596083.082973113),CZ
331,46983036,E30,U111,POINT (521198.1278484802 5573521.973838384),CZ
332,46622916,B11,U111,POINT (477237.9571526963 5456319.895492398),CZ
333,49243004,A11,U350,POINT (744627.7775063778 5526122.064343672),CZ
334,47243006,B16,U111,POINT (545115.8278195616 5541839.797600948),CZ
335,47263022,B14,U111,POINT (548189.0472065222 5557654.31883438),CZ
336,48062910,B16,U111,POINT (620496.5403447789 5440523.363407479),CZ
337,46963094,C21,U120,POINT (523126.9852250249 5631479.899301551),CZ
338,46782992,B11,U111,POINT (498283.6589350605 5531016.314248309),CZ
339,47803040,E20,U111,POINT (603287.237484848 5571906.709795337),CZ
340,46803002,B32,U111,POINT (500950.8831346277 5540850.680820544),CZ
341,47922972,C21,U120,POINT (610680.7284709302 5503296.008282764),CZ
342,45303012,A21,U370,POINT (351991.3171325067 5561000.694026935),CZ
343,45083000,C23,U120,POINT (329237.1037883842 5550516.032308869),CZ
344,45583006,C10,U120,POINT (379520.7560531434 5553120.906435872),CZ
345,46423048,C33,U120,POINT (466142.74493728 5589301.731293748),CZ
346,48822938,B75,U113,POINT (698235.1307033529 5463215.813635134),CZ
347,45202964,E20,U111,POINT (338797.9359994655 5513789.464080906),CZ
348,45262936,B11,U111,POINT (342914.8656292867 5485449.436474105),CZ
349,47862930,C31,U120,POINT (601876.6491816535 5461833.666401216),CZ
350,47362904,C21,U120,POINT (550253.5680081466 5439324.800488468),CZ
351,45542938,B11,U111,POINT (370979.528624644 5485560.069379268),CZ
352,46982942,E20,U420,POINT (514883.5800361456 5479801.75284679),CZ
353,47302936,E20,U370,POINT (546405.0413188962 5471640.432259222),CZ
354,49102920,B75,U111,POINT (724987.1773865705 5443335.5724549),CZ
355,46422982,C10,U120,POINT (461701.3115323223 5523491.982091019),CZ
356,46682888,A22,U312,POINT (481358.7449122554 5427989.932551137),CZ
357,46462952,B16,U111,POINT (463682.0600000806 5493304.824784891),CZ
358,47802958,C21,U120,POINT (597765.8431751756 5490160.017957312),CZ
359,48782954,B32,U111,POINT (695316.2484626339 5479443.926849856),CZ
360,45843074,C31,U120,POINT (410042.1434998964 5619174.606675359),CZ
361,48402922,B11,U111,POINT (655232.7387533628 5450154.309399097),CZ
362,47623070,E20,U111,POINT (587353.9548261076 5603043.943563505),CZ
363,48242892,E20,U111,POINT (637257.0714851539 5421341.635963352),CZ
364,49003004,B11,U111,POINT (720655.0782676816 5527777.535139021),CZ
365,49122964,C10,U420,POINT (729942.794132611 5487068.994548565),CZ
366,45962926,E30,U420,POINT (412073.6787195263 5470757.551578141),CZ
367,46002904,B11,U111,POINT (414599.0507084476 5448543.618296472),CZ
368,46322938,A11,U111,POINT (448782.1020438356 5480292.000682484),CZ
369,46943006,E20,U225,POINT (515186.2437004709 5543885.315749229),CZ
370,47043018,B32,U111,POINT (525970.4374139917 5555167.529548142),CZ
371,46902952,E20,U111,POINT (507572.2416856729 5490316.865775636),CZ
372,45562920,B51,U111,POINT (371775.5019539905 5467468.429091041),CZ
373,47743072,B51,U111,POINT (599464.7252593176 5604216.396892261),CZ
374,45282954,B11,U111,POINT (346110.7325874861 5503273.633770307),CZ
375,46822974,C10,U120,POINT (501065.7589797537 5512796.941323341),CZ
376,48762940,C21,U120,POINT (692378.6291609994 5465623.422843941),CZ
377,46542954,B32,U111,POINT (471795.6816404986 5494756.558799565),CZ
378,47482992,E30,U420,POINT (568119.4846908821 5526244.027862297),CZ
379,47722898,B41,U111,POINT (585769.1350759296 5430885.537425169),CZ
380,45823044,B11,U111,POINT (406020.1448171559 5589392.994356935),CZ
381,45902932,A22,U312,POINT (406488.8995072488 5477147.240013083),CZ
382,46982974,E20,U111,POINT (517026.8596846708 5511708.122444995),CZ
383,46562928,B32,U111,POINT (472053.5228348838 5468693.461567668),CZ
384,47102936,B11,U111,POINT (526453.0862797438 5473002.673791679),CZ
385,48042974,C21,U120,POINT (622790.9472597851 5504467.811169007),CZ
386,47123002,C22,U120,POINT (532874.5329423528 5538670.491347273),CZ
